"per model - subdomain" "number"
"trade" 38
"land use" 23
"crop growth" 17
"not specified" 15
"hydrological" 14
"demography" 8
"climate" 7
"livestock growth" 6
"energy" 5
"soil" 5
"employment" 4
"transport" 4
"environment" 3
"health" 3
"communication" 2
"technology adoption" 2
"travel" 2
"cooperation" 1
"geology" 1
"inventory" 1
"land market" 1
"lobbying" 1
"microbiological" 1
"negotiation" 1
"nutrition" 1
"participation" 1
"tourism" 1
"urban development" 1
