"per interaction - exchange" "number"
"not applicable" 80
"information" 11
"land" 6
"money" 4
"food" 3
"none" 3
"water" 2
"cooperation" 1
"labour" 1
"manure" 1
"rent" 1
"tractor" 1
"transport" 1
